id	node1	label	node2	node2;coor	node2;label
	cluster_0_0_2_2_14_112_322	member	QNIHPER10003954	@41.504/-81.608	'Case Western Reserve University'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER10428590	@37.5625/126.945	'Ewha Womans University'@en
	cluster_0_0_3_6_21_40_1800	member	QNIHPER10004092	@44.564588/-123.275705	'Oregon State University'@en
	cluster_0_0_3_6_21_40_1238	member	QNIHPER12571233	@42.447222222222/-76.483055555556	'Cornell University'@en
	cluster_0_0_3_6_21_40_1238	member	QNIHPER2098890	@46.343224/-119.276333	'Pacific Northwest National Laboratory'@en
	cluster_0_0_2_3_22_129_391	member	QNIHPER10011950	@35.208611111111/-97.445833333333	'University of Oklahoma'@en
	cluster_0_0_2_3_22_129_391	member	QNIHPER6379098	@40.914224/-73.11623	'Stony Brook University'@en
	cluster_0_0_3_5_30_15_1005	member	QNIHPER10013449	@38.035555555556/-78.503333333333	'University of Virginia'@en
	cluster_0_0_3_5_30_15_1005	member	QNIHPER6719337	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_2_3_24_103_1363	member	QNIHPER10046004	@29.7105/-95.3965	'Baylor College of Medicine'@en
	cluster_0_0_2_3_24_103_2283	member	QNIHPER7039414	@29.7077/-95.4016	'Texas Children\'s Hospital'@en
	cluster_0_0_3_6_7_2_1905	member	QNIHPER10050947	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_6_7_2_1975	member	QNIHPER9770421	@40.741969/-73.974033	'NYU Langone Medical Center'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER10063209	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER1869099	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_3_6_7_2_2378	member	QNIHPER10063277	@35.08389/-106.61861	'University of New Mexico'@en
	cluster_0_0_3_6_7_2_843	member	QNIHPER7264821	@35.08389/-106.61861	'University of New Mexico'@en
	cluster_0_0_3_6_11_102_1932	member	QNIHPER10070112	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_3_6_11_102_811	member	QNIHPER6869311	@39.167222/-86.521389	'Indiana University Bloomington'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER10116289	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER1894234	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER10126956	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER11121638	@45.50414/-73.61433	'Université de Montréal'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER1963661	@35.908611111111/-79.049166666667	'University of North Carolina'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER10127717	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER9847417	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER10131060	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER1883321	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER7601285	@43.07527778/-89.40972222	'University of Wisconsin–Madison'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10166448	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8585373	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10169386	@39.953235/-82.979359	'Nationwide Children\'s Hospital'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1884100	@33.791111111111/-84.323333333333	'Emory University'@en
	cluster_0_0_3_5_28_12_2311	member	QNIHPER10180295	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_3_5_28_12_2311	member	QNIHPER1967628	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_3_5_28_12_2311	member	QNIHPER1903935	@37.546615/-77.453255	'Virginia Commonwealth University'@en
	cluster_0_0_2_2_14_8_1497	member	QNIHPER10182147	@29.7105/-95.3965	'Baylor College of Medicine'@en
	cluster_0_0_2_2_14_8_1497	member	QNIHPER6269320	@41.5024/-81.6176	'Cleveland Clinic'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER10187111	@40.850852/-73.844949	'Albert Einstein College of Medicine'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER7695692	@41.826167/-71.40325	'Brown University'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER10197460	@52.083333333333/0.18333333333333	'Wellcome Sanger Institute'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER8036547	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER7717007	@41.3855/2.19403	'Centre for Genomic Regulation'@en
	cluster_0_0_2_3_23_51_1075	member	QNIHPER10201825	@40.7641/-73.9568	'Memorial Sloan Kettering Cancer Center'@en
	cluster_0_0_2_3_23_51_1075	member	QNIHPER8847359	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_5_28_70_916	member	QNIHPER10202604	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_3_5_28_70_1259	member	QNIHPER1857640	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER10202799	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER9060443	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER10203203	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER7052249	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER10222384	@41.256/-95.9758	'University of Nebraska Medical Center'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER9765464	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER10223174	@41.789722222222/-87.599722222222	'University of Chicago'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER8360249	@33.9975/-81.025277777778	'University of South Carolina'@en
	cluster_0_0_3_6_11_3_351	member	QNIHPER10223761	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_3_6_11_3_1350	member	QNIHPER1864568	@40.7895/-73.9538	'Icahn School of Medicine at Mount Sinai'@en
	cluster_0_0_3_6_11_3_1350	member	QNIHPER9568947	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_3_6_11_3_1350	member	QNIHPER1867465	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_3_6_21_33_1184	member	QNIHPER10231844	@29.7033/-95.4029	'University of Texas Health Science Center at Houston'@en
	cluster_0_0_3_6_21_33_1184	member	QNIHPER11444039	@29.7033/-95.4029	'University of Texas Health Science Center at Houston'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER10233202	@45.498916666667/-122.68875	'Oregon Health & Science University'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER6724854	@45.498916666667/-122.68875	'Oregon Health & Science University'@en
	cluster_0_0_3_5_28_54_1467	member	QNIHPER10234011	@37.763319444444/-122.45853888889	'University of California, San Francisco'@en
	cluster_0_0_3_5_28_54_1467	member	QNIHPER10656371	@40.110538888889/-88.228411111111	'University of Illinois at Urbana–Champaign'@en
	cluster_0_0_3_5_28_54_1467	member	QNIHPER2504813	@32.8875/-117.24638888889	'Salk Institute for Biological Studies'@en
	cluster_0_0_3_5_28_54_1467	member	QNIHPER8092224	@49.278888888888886/-122.9161111111111	'Simon Fraser University'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER10236773	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER1895457	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_3_6_21_33_1184	member	QNIHPER10237907	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_3_6_21_33_1184	member	QNIHPER8652218	@34.021667/-118.285278	'University of Southern California'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER10243591	@42.362805555556/-71.068630555556	'Massachusetts General Hospital'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER8527169	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER10244514	@42.338/-71.1072	'Dana–Farber Cancer Institute'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER7903921	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_3_6_7_2_1905	member	QNIHPER10253301	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_3_6_7_2_1975	member	QNIHPER1926455	@43.077556/-89.430444	'University of Wisconsin School of Medicine and Public Health'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER10253790	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER9743829	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER10254469	@38.637/-90.2646	'Washington University School of Medicine'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER12014860	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER1923960	@41.5024/-81.6176	'Cleveland Clinic'@en
	cluster_0_0_2_2_9_93_624	member	QNIHPER10262064	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_2_2_9_93_624	member	QNIHPER7043086	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER10267923	@39.132/-84.5155	'University of Cincinnati'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER2204699	@37.43444444/-122.17611111	'Stanford University School of Medicine'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER10287593	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER8911469	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_3_6_11_74_307	member	QNIHPER10291876	@29.64833/-82.34944	'University of Florida'@en
	cluster_0_0_3_6_11_74_871	member	QNIHPER1878005	@29.64833/-82.34944	'University of Florida'@en
	cluster_0_0_3_6_7_13_53	member	QNIHPER10294025	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_3_6_7_13_53	member	QNIHPER8141594	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_3_5_30_39_104	member	QNIHPER10297658	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_5_30_39_104	member	QNIHPER15012965	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_5_30_39_104	member	QNIHPER8675168	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_5_30_39_104	member	QNIHPER15014044	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_5_15_50_911	member	QNIHPER10301859	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_3_5_15_50_911	member	QNIHPER2202820	@32.881/-117.238	'University of California, San Diego'@en
	cluster_0_0_3_6_7_2_1905	member	QNIHPER10308835	@40/-83.0125	'Ohio State University'@en
	cluster_0_0_3_6_7_2_1975	member	QNIHPER16358078	@51.443888888889/7.2616666666667	'Ruhr University Bochum'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10309018	@37.763319444444/-122.45853888889	'University of California, San Francisco'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1865133	@37.763319444444/-122.45853888889	'University of California, San Francisco'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER10312066	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER2081455	@34.1375/-118.125	'California Institute of Technology'@en
	cluster_0_0_3_6_21_33_528	member	QNIHPER10312907	@38.958055555556/-95.247777777778	'University of Kansas'@en
	cluster_0_0_3_6_21_33_528	member	QNIHPER2436302	@40.251666666666665/-111.65166666666667	'Brigham Young University'@en
	cluster_0_0_3_6_21_33_528	member	QNIHPER9658299	@38.215019444444/-85.760222222222	'University of Louisville'@en
	cluster_0_0_3_6_21_33_528	member	QNIHPER1871909	@35.9517/-83.93	'University of Tennessee, Knoxville'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER10316531	@33.5/-86.8075	'University of Alabama at Birmingham'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER9465113	@33.5/-86.8075	'University of Alabama at Birmingham'@en
	cluster_0_0_3_6_7_21_2295	member	QNIHPER10318224	@40.345277777778/-74.656111111111	'Princeton University'@en
	cluster_0_0_3_6_7_21_2295	member	QNIHPER1881084	@36.0007/-78.9403	'Duke University School of Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10319219	@39.056285/-94.61077	'University of Kansas Medical Center'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1871933	@34.021667/-118.285278	'University of Southern California'@en
	cluster_0_0_3_6_21_40_1238	member	QNIHPER10322223	@38.637/-90.2646	'Washington University School of Medicine'@en
	cluster_0_0_3_6_21_40_1800	member	QNIHPER8773981	@38.637/-90.2646	'Washington University School of Medicine'@en
	cluster_0_0_3_6_7_2_1145	member	QNIHPER10325401	@52.079889/0.186356	'European Bioinformatics Institute'@en
	cluster_0_0_3_6_7_2_1145	member	QNIHPER1925100	@43.6598/-79.3889	'Ontario Institute for Cancer Research'@en
	cluster_0_0_3_6_7_2_1145	member	QNIHPER11990780	@43.6598/-79.3889	'Ontario Institute for Cancer Research'@en
	cluster_0_0_3_6_21_40_1238	member	QNIHPER10334348	@33.791111111111/-84.323333333333	'Emory University'@en
	cluster_0_0_3_6_21_40_1800	member	QNIHPER7042267	@33.791111111111/-84.323333333333	'Emory University'@en
	cluster_0_0_3_6_11_74_871	member	QNIHPER10344393	@32.896092/-117.242457	'Scripps Research'@en
	cluster_0_0_3_6_11_74_307	member	QNIHPER1900613	@37.43444444/-122.17611111	'Stanford University School of Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10353197	@29.506/-98.576	'University of Texas Health Science Center at San Antonio'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8622054	@29.506/-98.576	'University of Texas Health Science Center at San Antonio'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER10354768	@37.874921/-122.252898	'Lawrence Berkeley National Laboratory'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER12423471	@52.526944/13.377222	'Charité'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER14080441	@51.5240671/-0.0403745	'Queen Mary University of London'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER8659896	@32.87721/-117.21993	'La Jolla Institute for Allergy and Immunology'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER1869835	@45.498916666667/-122.68875	'Oregon Health & Science University'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER7569861	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER7527757	@35.08389/-106.61861	'University of New Mexico'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER2070039	@44.3655/-68.1965	'Jackson Laboratory'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER2068101	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER8818058	@34.021667/-118.285278	'University of Southern California'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER10713316	@52.621388888889/-1.1244444444444	'University of Leicester'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER1901679	@32.869107/-117.243037	'J. Craig Venter Institute'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER10359380	@38.637/-90.2646	'Washington University School of Medicine'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER14957016	@38.637/-90.2646	'Washington University School of Medicine'@en
	cluster_0_0_3_6_7_13_1976	member	QNIHPER10361345	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_3_6_7_13_1976	member	QNIHPER8135679	@39.775555555556/-86.176666666667	'Indiana University School of Medicine'@en
	cluster_0_0_3_6_11_35_1298	member	QNIHPER10363075	@44.3655/-68.1965	'Jackson Laboratory'@en
	cluster_0_0_3_6_11_35_169	member	QNIHPER8541082	@44.3655/-68.1965	'Jackson Laboratory'@en
	cluster_0_0_3_6_11_35_169	member	QNIHPER1884959	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER10363573	@42.054853/-87.673945	'Northwestern University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER8194635	@39.056285/-94.61077	'University of Kansas Medical Center'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10366365	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1865744	@40.7641/-73.9568	'Memorial Sloan Kettering Cancer Center'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1871762	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_3_6_11_74_185	member	QNIHPER10366655	@42.3496/-71.0997	'Boston University'@en
	cluster_0_0_3_6_11_74_185	member	QNIHPER8550185	@29.506/-98.576	'University of Texas Health Science Center at San Antonio'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10367545	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8475216	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER10376644	@33.791111111111/-84.323333333333	'Emory University'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER1927224	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_2_3_22_120_2296	member	QNIHPER10376742	@42.336267/-71.072344	'Boston University School of Medicine'@en
	cluster_0_0_2_3_22_120_2296	member	QNIHPER1859028	@42.336267/-71.072344	'Boston University School of Medicine'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER10377214	@5.65075/-0.18951	'University of Ghana'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER11208590	@-6.80777778/39.27333333	'Muhimbili University of Health and Allied Sciences'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER10385026	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER1877370	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_3_5_28_12_97	member	QNIHPER10386386	@42.3373/-71.106	'Boston Children\'s Hospital'@en
	cluster_0_0_3_5_28_12_97	member	QNIHPER1890106	@41.826167/-71.40325	'Brown University'@en
	cluster_0_0_3_6_11_74_380	member	QNIHPER10389053	@40.709444444444/-74.088611111111	'New Jersey City University'@en
	cluster_0_0_3_6_11_74_380	member	QNIHPER8027998	@39.167222/-86.521389	'Indiana University Bloomington'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER10392357	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER11860832	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_3_6_7_13_1976	member	QNIHPER10394394	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_3_6_7_13_1976	member	QNIHPER1899826	@29.7078/-95.3975	'University of Texas MD Anderson Cancer Center'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER10394688	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER12470013	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_5_30_15_444	member	QNIHPER10394924	@39.779816/-84.064765	'Wright State University'@en
	cluster_0_0_3_5_30_15_444	member	QNIHPER7744927	@39.779816/-84.064765	'Wright State University'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER10395468	@40.765/-111.85	'University of Utah'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER11413706	@52.38388889/9.80472222	'Hannover Medical School'@en
	cluster_0_0_2_3_23_85_1176	member	QNIHPER2097030	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_3_6_11_61_1950	member	QNIHPER10395973	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_6_11_61_1642	member	QNIHPER1873301	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_6_11_61_1642	member	QNIHPER12480700	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER10401624	@40.850852/-73.844949	'Albert Einstein College of Medicine'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER1860713	@40.850852/-73.844949	'Albert Einstein College of Medicine'@en
	cluster_0_0_2_2_14_8_259	member	QNIHPER10414471	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_8_259	member	QNIHPER7144907	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_9_93_2350	member	QNIHPER10414697	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_146_1984	member	QNIHPER10415153	@37.87/-122.259	'University of California, Berkeley'@en
	cluster_0_0_2_2_14_146_1984	member	QNIHPER2220295	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_146_1984	member	QNIHPER1881995	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_146_1984	member	QNIHPER11915976	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER10420015	@0.335/32.5675	'Makerere University'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER12560538	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_2_3_22_120_2296	member	QNIHPER10420269	@41.504/-81.608	'Case Western Reserve University'@en
	cluster_0_0_2_3_22_120_2296	member	QNIHPER10502130	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_3_22_120_2296	member	QNIHPER1876724	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_2_3_22_120_193	member	QNIHPER8746134	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER10421491	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER1870975	@41.30373648476665/-72.93211899014433	'Yale School of Public Health'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER9469140	@25.7529/-80.3732	'Florida International University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER1860526	@37.871905/-122.266415	'University of California, Berkeley School of Public Health'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10426355	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1876530	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_3_6_11_74_380	member	QNIHPER10428223	@36.0007/-78.9403	'Duke University School of Medicine'@en
	cluster_0_0_3_6_11_74_380	member	QNIHPER1878219	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10429390	@40.4431/-79.9613	'University of Pittsburgh School of Medicine'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER2084976	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_3_6_7_2_1975	member	QNIHPER10431776	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_3_6_7_2_1905	member	QNIHPER16214719	@-30.033611111111/-51.219166666667	'Federal University of Rio Grande do Sul'@en
	cluster_0_0_3_6_7_21_1018	member	QNIHPER10433575	@34.075198/-118.380676	'Cedars-Sinai Medical Center'@en
	cluster_0_0_3_6_7_21_1018	member	QNIHPER2083858	@34.021667/-118.285278	'University of Southern California'@en
	cluster_0_0_2_3_24_103_2283	member	QNIHPER10434703	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_3_24_103_1363	member	QNIHPER1896456	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10442525	@-33.930075/18.864725	'Stellenbosch University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1860395	@45.524006/-122.874824	'Oregon National Primate Research Center'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER11870228	@13.474655/-16.688735	'Medical Research Council The Gambia Unit'@en
	cluster_0_0_2_3_23_69_1917	member	QNIHPER10457149	@37.87/-122.259	'University of California, Berkeley'@en
	cluster_0_0_2_3_23_69_282	member	QNIHPER10830096	@32.881/-117.238	'University of California, San Diego'@en
	cluster_0_0_2_2_9_145_1311	member	QNIHPER10464070	@37.87/-122.259	'University of California, Berkeley'@en
	cluster_0_0_2_2_9_145_1311	member	QNIHPER1900251	@37.763319444444/-122.45853888889	'University of California, San Francisco'@en
	cluster_0_0_2_3_24_128_2353	member	QNIHPER10484443	@40.765/-111.85	'University of Utah'@en
	cluster_0_0_2_3_24_128_2353	member	QNIHPER9412173	@40.765/-111.85	'University of Utah'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10485392	@32.881/-117.238	'University of California, San Diego'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1885861	@32.881/-117.238	'University of California, San Diego'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10491166	@42.2768/-71.7624	'University of Massachusetts Medical School'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER2105323	@42.3496/-71.0997	'Boston University'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER10493765	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_2_9_125_1126	member	QNIHPER3128284	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_3_5_30_15_1065	member	QNIHPER10498752	@32.8875/-117.24638888889	'Salk Institute for Biological Studies'@en
	cluster_0_0_3_5_30_15_1065	member	QNIHPER7340105	@39.32888888888889/-76.62055555555555	'Johns Hopkins University'@en
	cluster_0_0_3_6_21_33_2232	member	QNIHPER10500924	@34.1375/-118.125	'California Institute of Technology'@en
	cluster_0_0_3_6_21_33_2232	member	QNIHPER2086525	@30.28614/-97.73942	'University of Texas at Austin'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10525437	@43.662917/-79.395746	'University of Toronto'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER9563411	@43.662917/-79.395746	'University of Toronto'@en
	cluster_0_0_3_6_7_2_2378	member	QNIHPER10527042	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_6_7_2_843	member	QNIHPER1893935	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER10533832	@43.662917/-79.395746	'University of Toronto'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER12443729	@43.662917/-79.395746	'University of Toronto'@en
	cluster_0_0_2_3_24_128_2066	member	QNIHPER10549945	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_3_24_128_2066	member	QNIHPER8002350	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_3_24_128_2066	member	QNIHPER14990530	@11.962676/8.551973	'Aminu Kano Teaching Hospital'@en
